node_id,tier,status,x,y,r,confidence,notes
53,Tier 1 - anchor,accepted_anchor,667.0,700.0,15.0,0.7096846343245032,"Directly detected, border-refined, used as grid anchor."
54,Tier 1 - anchor,accepted_anchor,656.0,761.0,15.0,0.5447311585438983,"Directly detected, border-refined, used as grid anchor."
55,Tier 1 - anchor,accepted_anchor,645.0,822.0,15.0,0.1139481288737236,"Directly detected, border-refined, used as grid anchor."
57,Tier 1 - anchor,accepted_anchor,782.0,378.0,15.0,0.6846492731911514,"Directly detected, border-refined, used as grid anchor."
58,Tier 1 - anchor,accepted_anchor,771.0,438.0,15.0,1.0,"Directly detected, border-refined, used as grid anchor."
59,Tier 1 - anchor,accepted_anchor,759.0,498.0,15.0,0.9648725182014452,"Directly detected, border-refined, used as grid anchor."
60,Tier 1 - anchor,accepted_anchor,748.0,559.0,15.0,0.8905718907638769,"Directly detected, border-refined, used as grid anchor."
61,Tier 1 - anchor,accepted_anchor,736.0,619.0,15.0,1.0,"Directly detected, border-refined, used as grid anchor."
62,Tier 1 - anchor,accepted_anchor,725.0,680.0,15.0,0.8022558172380679,"Directly detected, border-refined, used as grid anchor."
63,Tier 1 - anchor,accepted_anchor,714.0,740.0,15.0,0.6476698091526987,"Directly detected, border-refined, used as grid anchor."
64,Tier 1 - anchor,accepted_anchor,703.0,801.0,15.0,0.4628998757544191,"Directly detected, border-refined, used as grid anchor."
66,Tier 1 - anchor,accepted_anchor,828.0,418.0,15.0,0.8501620186091516,"Directly detected, border-refined, used as grid anchor."
67,Tier 1 - anchor,accepted_anchor,817.0,478.0,15.0,0.6996803954772686,"Directly detected, border-refined, used as grid anchor."
68,Tier 1 - anchor,accepted_anchor,806.0,539.0,15.0,0.9140883757903668,"Directly detected, border-refined, used as grid anchor."
69,Tier 1 - anchor,accepted_anchor,794.0,599.0,15.0,0.9620144478760516,"Directly detected, border-refined, used as grid anchor."
70,Tier 1 - anchor,accepted_anchor,783.0,660.0,15.0,0.8231526495937731,"Directly detected, border-refined, used as grid anchor."
71,Tier 1 - anchor,accepted_anchor,771.0,720.0,15.0,0.8232461184902347,"Directly detected, border-refined, used as grid anchor."
72,Tier 1 - anchor,accepted_anchor,760.0,780.0,15.0,0.4885368841479902,"Directly detected, border-refined, used as grid anchor."
